date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2019-06-24 00:01:06+02,e33ec0aa-a169-4040-a2af-e0098f7ff286,1.189,1.419,1.399,3,3,3
2019-06-24 00:01:06+02,368949c0-6cb1-4cf8-9d32-91bf503bb8cb,1.138,1.348,1.328,0,1,1
2019-06-24 00:01:06+02,d25c5cb7-d86b-4984-a626-d84f89248842,1.199,1.459,1.439,1,0,0
2019-06-24 00:02:07+02,2d658127-11b5-478c-b131-61b8a9785ca1,1.229,1.469,0.000,1,1,0
2019-06-24 00:03:06+02,24e5e31e-b5fd-4c1a-96aa-84de7027ee94,1.279,1.519,1.499,1,1,1
2019-06-24 00:03:06+02,a98ed5d0-261b-4311-beaf-85ee779fc4e0,1.329,1.539,1.519,1,1,1
2019-06-24 00:04:07+02,00060711-0001-4444-8888-acdc00000001,1.244,1.474,1.454,1,1,1
2019-06-24 00:04:07+02,b47667a2-e7d6-40dc-bd0c-a45e37e7bc45,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,71c40516-1425-4c77-b217-82ea5ccf6777,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,79b29abc-593f-4b72-94f5-75188a943d86,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,c27bc772-66da-4781-af21-69dc58d6ea70,1.309,1.519,1.499,1,1,1
2019-06-24 00:04:07+02,9289d2c9-8d32-44ea-bf74-432d36c02425,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,c0d13adc-9c12-40c5-944d-e33aacc313a8,1.309,1.519,1.499,1,1,1
2019-06-24 00:04:07+02,42ddd4e2-9c2e-41d5-b441-eb9f54259535,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,f26d47a1-ae37-4bff-a6fa-4a777a0eb425,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,d29cac69-fce1-48e1-acc7-e2071fce0f58,1.289,1.499,1.479,1,0,0
2019-06-24 00:04:07+02,a0dedaf4-e261-4e44-90b1-93f945be1483,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,3deeb08d-43d6-4b0e-9095-619cb3102649,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,b05210cd-c08e-44d6-a233-59916f0ac367,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,fee0214f-76c7-414a-b38b-3acffe24628f,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,01124b8b-5e36-4a49-9906-7f96ad7d7db5,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,47a417dc-a6f9-4890-b8e6-34672ab32f13,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,357c5609-f97a-4698-a47e-d4a256f2517b,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,42d6d4cc-6909-45fc-f60f-a1abd9ea1f0e,1.259,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,00061000-0001-4444-8888-acdc00000001,1.209,1.439,1.419,0,1,1
2019-06-24 00:04:07+02,d1c105b5-968e-4af1-92e8-044c72897c46,1.289,1.499,1.479,1,1,1
2019-06-24 00:04:07+02,8fb359e2-de12-4137-b74c-729f5357cdaa,1.309,1.519,1.499,1,1,1
2019-06-24 00:05:13+02,6cdf9d51-946d-41c7-bbf6-db96265cd053,1.239,1.469,1.449,1,1,1
2019-06-24 00:05:13+02,ff9db85d-f8ad-450a-9beb-fe4f3588aa16,1.239,1.509,1.489,1,1,1
2019-06-24 00:05:13+02,a859aafb-9b57-46d7-8d89-d9d3b0e589e2,1.239,1.459,1.439,1,1,1
2019-06-24 00:05:13+02,0c50bb81-cbe3-4034-83ee-b561434831d9,1.189,1.409,0.000,1,1,0
2019-06-24 00:05:13+02,f3cc4219-41f1-43d8-aaf0-079e30ed89db,1.199,1.399,1.379,1,1,1
2019-06-24 00:07:22+02,3eb1d573-3858-4794-826d-49b6238d9ceb,1.359,1.559,0.000,1,1,0
2019-06-24 00:07:22+02,a765807c-346d-4dd8-b861-7e251ce4bca0,1.299,1.509,1.489,1,1,1
2019-06-24 00:07:22+02,33af6f9e-af59-4837-12bf-d907e1bf54ba,1.299,1.509,1.489,1,1,1
2019-06-24 00:07:22+02,d299da0e-222b-4986-1432-800e38da81de,1.299,1.509,1.489,1,1,1
2019-06-24 00:07:22+02,07537cb2-6c14-4ca1-702e-665a9b6f5801,1.239,1.459,1.429,1,1,0
2019-06-24 00:07:22+02,c55a0021-dd36-49d8-8056-8b9b535b35c8,1.259,1.459,1.439,1,0,0
2019-06-24 00:09:07+02,2e42747d-1be1-472a-4fc5-d3073ad7d533,1.349,1.589,1.569,1,1,1
2019-06-24 00:09:07+02,92c9b940-e8ac-4019-9316-c7e1ef86ea1c,1.169,1.389,1.369,1,1,1
2019-06-24 00:09:07+02,22657dcc-b9e5-4122-8bc8-7daa12222893,1.209,1.439,1.419,1,1,1
2019-06-24 00:09:07+02,67299f58-98d9-4b3b-b0d1-fd1da71118a5,1.239,1.464,1.444,1,1,1
2019-06-24 00:09:07+02,ccab48bc-0650-49b6-9744-adfdb31a2d7e,1.259,1.499,1.479,1,1,1
2019-06-24 00:09:07+02,7e9c5044-abb3-47a2-93c2-04c356e268e5,1.239,1.464,1.444,1,1,1
2019-06-24 00:09:07+02,d860b770-b7ea-4ec4-8324-4afb1be4ab4d,1.319,1.539,1.519,1,1,1
2019-06-24 00:09:07+02,747aee23-1087-45c8-8270-6cd4e80b3e59,1.299,1.529,1.509,1,1,1
2019-06-24 00:11:08+02,8d234c85-93ce-4284-aa12-197fa9b9a092,1.289,1.499,1.479,1,1,1
2019-06-24 00:11:08+02,983529d6-7912-43c6-9748-933d49159ca6,1.289,0.000,0.000,1,0,0
2019-06-24 00:12:06+02,2b90f9cb-6ca5-4d43-acf0-b0dcca654d55,1.209,1.519,1.499,1,1,1
