Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2020;00:00;00:15;10.964,25;9.362,75;48,75
01.01.2020;00:15;00:30;10.908,50;9.311,75;65,25
01.01.2020;00:30;00:45;10.833;9.170,50;96
01.01.2020;00:45;01:00;10.788,25;9.065;124,75
01.01.2020;01:00;01:15;10.756;9.012,50;94,75
01.01.2020;01:15;01:30;10.704,50;8.980,50;128,25
01.01.2020;01:30;01:45;10.614,75;8.859,25;136,75
01.01.2020;01:45;02:00;10.537,25;8.740,75;221
01.01.2020;02:00;02:15;10.492,75;8.661,75;148
01.01.2020;02:15;02:30;10.422,75;8.579,50;218,25
01.01.2020;02:30;02:45;10.317,75;8.457,75;231,5
01.01.2020;02:45;03:00;10.254,75;8.382;225,5
01.01.2020;03:00;03:15;10.181;8.326,25;202,5
01.01.2020;03:15;03:30;10.098,75;8.232,75;226
01.01.2020;03:30;03:45;10.035,50;8.147,50;253,25
01.01.2020;03:45;04:00;9.986,50;8.054,75;272,25
01.01.2020;04:00;04:15;10.101,75;8.166,75;406
01.01.2020;04:15;04:30;10.071,75;8.124,50;426,75
01.01.2020;04:30;04:45;10.073,25;8.112,50;457,25
01.01.2020;04:45;05:00;10.050;8.090,25;512,25
01.01.2020;05:00;05:15;10.078;8.121,75;533,5
01.01.2020;05:15;05:30;10.011,50;8.064;462,75
01.01.2020;05:30;05:45;10.011,50;8.051,25;525,25
01.01.2020;05:45;06:00;9.946,50;8.004,75;598,5
01.01.2020;06:00;06:15;9.760;7.833;478,25
01.01.2020;06:15;06:30;9.726,75;7.836,50;476
01.01.2020;06:30;06:45;9.716,25;7.831,25;408,25
01.01.2020;06:45;07:00;9.762,50;7.891,75;274
01.01.2020;07:00;07:15;9.818,50;7.940,75;262,25
01.01.2020;07:15;07:30;9.885;7.997;336,75
01.01.2020;07:30;07:45;9.876,50;8.013;235,5
01.01.2020;07:45;08:00;9.889,75;8.045;174,75
01.01.2020;08:00;08:15;9.952;8.120,50;344,5
01.01.2020;08:15;08:30;10.002,50;8.132,75;498,5
01.01.2020;08:30;08:45;10.047,50;8.089;497,5
01.01.2020;08:45;09:00;10.196;8.110,75;482,75
01.01.2020;09:00;09:15;10.379,25;8.085,50;416
01.01.2020;09:15;09:30;10.534,50;8.025,25;416,75
01.01.2020;09:30;09:45;10.672,50;7.943,25;451
01.01.2020;09:45;10:00;10.902,25;7.886,25;593
01.01.2020;10:00;10:15;11.003,75;7.752,75;652,25
01.01.2020;10:15;10:30;11.099,50;7.640;750,75
01.01.2020;10:30;10:45;11.223,50;7.575,50;792,5
01.01.2020;10:45;11:00;11.348,50;7.501,25;797,75
01.01.2020;11:00;11:15;11.531,25;7.487,75;865,25
01.01.2020;11:15;11:30;11.666,75;7.464,25;823,25
01.01.2020;11:30;11:45;11.769,75;7.387,50;791
01.01.2020;11:45;12:00;11.836,50;7.337,25;835,25
01.01.2020;12:00;12:15;12.008,25;7.461;760,25
01.01.2020;12:15;12:30;12.074,50;7.427,75;686,5
01.01.2020;12:30;12:45;12.067,75;7.354,25;814,75
01.01.2020;12:45;13:00;12.032;7.301,75;773,25
01.01.2020;13:00;13:15;12.039,75;7.343,50;694
01.01.2020;13:15;13:30;11.986;7.391,50;605,25
01.01.2020;13:30;13:45;11.955,75;7.453;489,75
01.01.2020;13:45;14:00;11.889,25;7.607;394
01.01.2020;14:00;14:15;11.689,50;7.647,75;408
01.01.2020;14:15;14:30;11.591,50;7.821;327,25
01.01.2020;14:30;14:45;11.452;7.961;91
01.01.2020;14:45;15:00;11.446,25;8.259,50;56,25
01.01.2020;15:00;15:15;11.542,75;8.655;65,75
01.01.2020;15:15;15:30;11.520,25;8.962;86,75
01.01.2020;15:30;15:45;11.565;9.269,75;90,75
